Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2020-06-29,285.1816101074219,285.32210640285064,280.00177039109366,282.3247472879432,79773300
2020-06-30,288.8345947265625,290.55811086462234,284.58208864312786,284.74130821537375,113394800
2020-07-01,290.8578796386719,292.1411553222898,289.4997107135446,289.96805073983813,72396500
2020-07-02,292.4595947265625,295.7098753370063,291.78518401074354,294.34230201160415,69344200
2020-07-06,296.97442626953125,297.56453933000677,295.5787820114098,296.3374906362472,61713800
2020-07-07,293.9114074707031,297.4145810253853,293.5273652950785,295.41010097467233,82910000
2020-07-08,296.159423828125,296.2718208348669,292.89979629180914,294.6888296244514,54638600
2020-07-09,294.47344970703125,297.02122033565746,291.007722429087,296.77767439936406,83354200
2020-07-10,297.48016357421875,297.7518087468504,292.95601227176337,294.40785467079104,57550400
2020-07-13,294.90435791015625,302.2760256899368,294.2393230460445,299.85940362043874,102997500
2020-07-14,298.7260437011719,299.5128515908511,292.24420453589636,293.46187728737885,93657000
2020-07-15,301.47052001953125,302.5851717145195,299.0538691604839,301.9950586306774,87196500
2020-07-16,300.47760009765625,300.93656417314014,298.8852325846452,299.5409200512278,54622500
2020-07-17,301.3486633300781,302.1448469746913,299.4940268081184,301.498535546669,62774900
2020-07-20,303.7840270996094,304.5427355194833,300.31830009175934,301.07700851163327,56308800
2020-07-21,304.4304504394531,306.2288604717977,303.42819573375857,305.7792722563176,57292200
2020-07-22,306.1632080078125,306.4817043595979,303.9526569508862,304.06505397612585,57792900
2020-07-23,302.5101623535156,306.5098042157516,301.12389425924033,305.7979182742342,75738000
2020-07-24,300.56195068359375,301.601651996917,299.03515736600815,300.62752515881544,73766600
2020-07-27,302.7536926269531,302.9316641031199,300.45881533019406,301.26437494629687,48293000
2020-07-28,300.83349609375,303.14709659041387,300.53375166526837,302.0136933299431,57495000
2020-07-29,304.53338623046875,305.1047758745193,301.6858711275575,301.72334633008643,48454200
2020-07-30,303.4468688964844,303.86838636404417,299.4004326998644,301.51731023005146,61861700
2020-07-31,305.8447265625,305.9477762211641,300.9833553418727,305.2639895679316,84986800
2020-08-03,307.9710388183594,308.7484706752371,306.9781602612835,307.5307980554894,53077900
2020-08-04,309.16064453125,309.16064453125,307.0999367904349,307.0999367904349,41917900
2020-08-05,311.08074951171875,311.34304732689856,310.2096440605647,310.4812892368565,42697700
2020-08-06,313.1601867675781,313.28195973146825,310.1628281585101,310.4906718493214,43679400
2020-08-07,313.38507080078125,313.67543934763614,311.25878865968497,312.17674545680563,57308300
2020-08-10,314.32171630859375,314.5090351585721,311.8769666299125,313.8440003585193,44282100
2020-08-11,311.72711181640625,316.1669947285276,310.9871551520584,315.52068320179865,69601100
2020-08-12,316.0732727050781,316.86008040320655,314.1718136216338,314.1999128756669,53774400
2020-08-13,315.501953125,316.83205147661397,314.56527300237883,315.295882354615,41816100
2020-08-14,315.5113220214844,316.0546124881785,314.3685711540199,315.10855643820963,47260400
2020-08-17,316.51361083984375,316.91637646670074,315.5207321114371,316.5417101025265,35481000
2020-08-18,317.19732666015625,317.62819145322794,315.29583883191174,316.9163055110361,38733900
2020-08-19,315.876708984375,318.1059840947325,315.3053191350291,317.581445411682,68054200
2020-08-20,316.86016845703125,317.3472318573577,313.9939294083351,314.12504976852625,42207800
2020-08-21,317.98419189453125,318.20898598629117,316.17637745592856,316.5229731276718,55106600
2020-08-24,321.206298828125,321.2812206461215,317.95601828051264,320.4569377221432,48588700
2020-08-25,322.3302917480469,322.4145895112113,320.59742816690334,321.77765402161134,38463400
2020-08-26,325.5619201660156,325.83353682280017,322.3772134359563,322.92985128331645,50790200
2020-08-27,326.2737731933594,327.744367840277,324.58776041365843,326.44239733949644,58034100
2020-08-28,328.3812255859375,328.5123744923638,326.1051002975551,327.31342536807495,48588900
2020-08-31,327.19171142578125,329.0556956090468,326.95754140938277,328.16586669785687,66099200
2020-09-01,330.2734680175781,330.3764891260945,327.12620745465745,328.03478845748606,54908700
2020-09-02,335.0504150390625,336.03391750988857,331.0507735312446,332.2122760568819,69540000
2020-09-03,323.5199890136719,333.8140952966934,320.8972672943186,333.33637924592733,148011100
2020-09-04,320.8785400390625,325.80545840804757,313.66609113095734,324.21311923374094,139156300
2020-09-08,312.1112060546875,320.94412219609876,311.80211416160853,315.3895868031792,114465300
2020-09-09,318.2745666503906,320.7754867255069,315.2959019505696,316.176383607373,91462300
2020-09-10,312.7481384277344,320.84103978573575,311.7739831008201,320.1760049055849,90569500
2020-09-11,312.9073181152344,315.63306034199246,310.04107960569604,314.5558840604034,84680200
2020-09-14,317.0287780761719,318.82721666936453,313.0572631054365,316.12019712274855,65605700
2020-09-15,318.6304626464844,320.36329785700826,317.038095140093,319.5202915357684,52920900
2020-09-16,317.3659362792969,321.3374504799322,317.0849151177085,319.88560785994696,82096000
2020-09-17,314.57464599609375,316.316885872113,311.90510195465646,312.43901647998564,91523300
2020-09-18,310.95294189453125,315.50461625656686,308.4325982617687,315.39176933265577,105877900
2020-09-21,307.4922790527344,307.64275123836336,302.56443694683287,306.29794374757495,99450800
2020-09-22,310.6239013671875,311.1881648961192,306.4483914325825,308.99697644332406,63612100
2020-09-23,303.42022705078125,311.47030232000276,302.9123870189486,311.1881562135915,93112200
2020-09-24,304.2289123535156,307.3323179084917,300.74931207704003,302.0847344592565,76681300
2020-09-25,309.14739990234375,309.9467420177309,302.4797581905343,303.36373551697545,71069400
2020-09-28,314.2820739746094,315.0061942127571,312.36359014283653,313.3698563942707,64584600
2020-09-29,312.5705871582031,314.82761249869975,311.8652649455708,314.075280285079,51304000
2020-09-30,314.9405212402344,318.13797653341925,313.0502483279517,313.2477305323337,104081100
2020-10-01,316.96234130859375,318.5610541106645,315.05327072460767,317.5736146946687,88698700
2020-10-02,313.9530029296875,316.93417728231753,311.46087031923616,311.9404985818706,89431100
2020-10-05,319.5203857421875,319.70845445162604,315.9937745693195,316.0407845717703,45713100
2020-10-06,314.9780578613281,321.786787223268,314.46083309595923,319.6614072862933,90128900
2020-10-07,320.4607849121094,321.27895403446433,317.9498253679829,317.97803710669746,56999600
2020-10-08,323.3008728027344,323.3667097598083,321.4952354207353,322.4262802003496,45242500
2020-10-09,326.18804931640625,326.65826416947885,324.34481512825994,324.97488695958054,59528600
2020-10-12,331.43560791015625,332.93088757924073,328.2663646461562,328.7647912025177,80388500
2020-10-13,329.2725524902344,331.47315385615536,328.2944978721713,331.2944699730584,73255500
2020-10-14,327.20361328125,330.965331099997,326.4606946757806,329.8556312313777,57727900
2020-10-15,326.7992858886719,327.2882989486371,322.6896131300133,323.2350496699886,60357700
2020-10-16,326.60174560546875,329.85562340559085,326.4230617173472,328.17224668574323,89501900
2020-10-19,321.63629150390625,328.5202133972915,320.724073772048,327.8807282470236,68425600
2020-10-20,322.9246520996094,326.2161550009922,322.2287435271979,322.9998738238048,60051900
2020-10-21,322.31341552734375,325.07828057613625,322.0030577179887,322.87765027229653,63575000
2020-10-22,324.0813903808594,324.67386554712687,320.35729766384543,322.52968747373944,55399300
2020-10-23,325.1817321777344,325.3792143494791,322.6895995831327,325.32279087183775,49143900
2020-10-26,319.1723937988281,322.5485323869964,315.6269560825658,321.74916154197103,91473000
2020-10-27,318.0721740722656,319.8589849858652,317.85586488233645,319.52044402734003,65994100
2020-10-28,307.20074462890625,318.1003205345294,306.70231807583235,312.3166840829194,127094300
